"id","cueillette_id","proprio_id"
367206,362016,
368002,362016,360085
376002,362016,365082
378014,378013,355004
378017,378013,162020
378031,378013,365174
378036,378013,348003
378039,378013,360133
378081,378013,362002
378089,378013,164003
378116,358302,364027
378155,358302,347001
378176,358302,362001
378180,358302,366079
378185,358302,360128
378199,358302,358058
378204,358302,358043
379019,378013,380005
379020,378013,347020
379029,378013,346009
379040,378013,358183
379041,378013,184035
379069,378013,384001
379084,378013,352022
379090,378013,166001
379097,378013,381026
379143,358302,366088
379147,358302,364147
379148,358302,365374
379158,358302,360171
379166,358302,360153
379197,358302,360085
379208,358302,350007
380008,378013,216055
381014,378013,355207
381024,378013,166021
381029,378013,357001
381054,378013,382050
381076,358302,164003
381093,358302,348009
381097,358302,161022
381107,358302,161021
381112,358302,366324
381118,358302,364274
381119,358302,157003
381124,358302,156011
381130,358302,240003
381140,358302,355207
381143,358302,352022
381147,358302,216055
381159,358302,362085
381185,358302,365437
381188,358302,358178
381200,358302,362116
382012,378013,365082
382032,378013,347002
382051,378013,365306
382053,378013,362116
382089,358302,364087
382091,358302,355004
382106,358302,141008
382126,358302,360129
382133,358302,360133
382150,358302,346012
382155,358302,358091
382162,358302,366129
382169,358302,166001
382170,358302,351008
382176,358302,355112
386001,358302,348011
404003,407003,341012
404005,407003,216055
404022,407003,161021
404036,407003,347020
405015,407003,358213
405024,407003,418027
406024,407003,362215
406031,407003,358058
407026,407003,357001
408037,407003,365174
409010,407003,366005
410003,407003,141002
410024,407003,341018
410037,407003,407033
410043,407003,348003
410060,407003,347001
411016,407003,164003
411019,407003,347002
411020,407003,162020
411024,407003,366133
411029,407003,358043
411036,407003,157003
411064,407003,360128
412021,407003,365056
412028,407003,382050
413050,407003,360008
413051,407003,365002
414005,407003,347019
414006,407003,364027
414010,407003,138003
414023,407003,341010
414033,407003,406035
414047,407003,364288
414051,407003,367057
414052,407003,407034
415005,407003,347004
415006,407003,355004
415009,407003,352022
415031,407003,346012
415037,407003,355094
415039,407003,378012
416004,407003,158005
416010,407003,406021
416012,407003,367005
416023,407003,362108
416024,407003,407029
416034,407003,379176
416038,407003,366034
417005,407003,297060
418003,407003,366092
418005,407003,406007
418018,407003,400003
418023,407003,348011
418032,407003,360129
424002,407003,346009
424005,407003,360133
424020,442001,358183
424025,442001,358073
424046,442001,350007
424048,442001,367115
424052,442001,362111
424054,442001,464028
426003,407003,348009
426006,407003,362116
426007,407003,366257
426015,407003,365107
427007,407003,366006
428003,407003,366330
428006,407003,355166
430009,407003,379076
430014,407003,358178
431006,407003,187008
431013,407003,184035
432004,407003,166001
432029,442001,157003
432035,442001,367005
432047,442001,364274
433001,407003,427003
433004,407003,364147
434028,442001,358091
434031,442001,346009
434040,442001,187007
434047,442001,457049
435006,407003,364168
436002,407003,360065
437003,442001,141002
437029,442001,360128
437030,442001,184035
438004,442001,362002
438009,442001,164003
438016,442001,360133
438023,442001,362108
439002,442001,442003
439009,442001,366079
439020,442001,216055
439022,442001,350006
439024,442001,367005
440019,442001,162020
440026,442001,444015
440035,442001,184028
440038,442001,379076
441010,442001,138003
441011,442001,360065
441013,442001,341018
441015,442001,381026
441022,442001,349001
442006,442001,364027
442021,442001,351004
443007,442001,355004
443026,442001,347019
444009,442001,362018
444017,442001,365056
445006,442001,364179
445018,442001,
446005,442001,297060
446011,442001,364017
446020,442001,358043
447007,442001,380005
448006,442001,347002
448011,442001,360036
448017,442001,141008
450009,442001,348009
454001,442001,364121
455003,442001,357001
455025,442001,364147
455027,442001,360168
455031,442001,360129
457010,442001,366092
458023,442001,459020
458031,442001,462031
458042,442001,364002
459001,442001,358055
459016,442001,156011
459032,442001,360038
460010,442001,358058
460034,442001,360129
461009,442001,341008
461014,442001,341016
461015,442001,347004
461017,442001,355124
461024,442001,360153
461027,442001,360085
461036,442001,366002
462024,442001,182034
462042,442001,360008
463013,442001,355091
463026,442001,158005
464001,442001,212002
464003,442001,346008
464005,442001,424022
464022,442001,365174
464026,442001,381034
465004,442001,358156
465010,442001,358162
465018,442001,355112
465019,442001,458024
465020,442001,366257
465025,442001,384001
466005,442001,367022
466012,442001,367126
466020,442001,351008
466025,442001,358178
466027,442001,378200
467004,442001,350029
467035,442001,463027
467047,442001,364288
468004,442001,348011
468009,442001,364168
468032,442001,166001
479006,496002,346012
493005,496002,216055
493031,496002,360128
493052,496002,364147
494005,496002,355004
495012,496002,461039
495014,496002,362108
495025,496002,365444
495029,496002,341012
495030,496002,362085
495032,496002,358058
495052,496002,364288
495073,495061,366079
495096,538030,366088
495111,538030,161021
495115,538030,496014
495130,538030,360129
496003,496002,158005
496018,496002,366330
496045,496002,360133
497019,496002,382050
497025,496002,348009
497026,496002,360171
497033,496002,508018
497043,496002,462031
498007,496002,162020
498009,496002,365056
499006,496002,364002
499008,496002,502006
499011,496002,347002
499030,496002,
500014,496002,475001
500031,496002,346009
500035,496002,496036
500036,496002,362102
500042,496002,166001
500045,496002,358178
501005,496002,364027
501006,496002,297060
501016,496002,157003
501017,496002,455040
501034,496002,360068
501060,495061,497059
501065,495061,424057
502012,496002,164003
502020,496002,362062
503005,496002,141002
503017,496002,351004
503041,496002,219046
505008,496002,366005
505018,496002,360129
505032,496002,362001
505053,495061,297060
505064,495061,346009
505094,538030,341016
505110,538030,168032
505117,538030,464028
505129,538030,360133
505137,538030,505134
506006,496002,341018
506009,496002,367005
506027,496002,348011
506036,496002,350007
508007,496002,366079
508021,496002,360008
508027,496002,348003
508034,496002,341013
508039,496002,378200
508041,496002,366073
508049,495061,216055
508059,495061,355112
508065,495061,341010
508070,495061,351004
508122,538030,362002
509011,496002,511011
509014,496002,379076
509030,496002,364168
509051,495061,364027
509055,495061,162020
509058,495061,355207
